keys,en,es,es_MX,ja,de,fr,it,pt
POKEBALL,Poké Ball,Poké Ball,Poké Ball,モンスターボール,Pokéball,Poké Ball,Poké Ball,Poké Bola
GREATBALL,Great Ball,Súper Ball,Súper Ball,スーパーボール,Superball,Super Ball,Gran Ball,Super Bola
ULTRABALL,Ultra Ball,Ultra Ball,Ultra Ball,ハイパーボール,Hyperball,Hyper Ball,Ultra Ball,Ultra Bola
MASTERBALL,Master Ball,Master Ball,Master Ball,マスターボール,Meisterball,Master Ball,Master Ball,Master Bola
SAFARIBALL,Safari Ball,Safari Ball,Safari Ball,サファリボール,Safariball,Safari Ball,Safari Ball,Safari Bola
FASTBALL,Fast Ball,Veloz Ball,Veloz Ball,スピードボール,Flitzball,Turbo Ball,Turbo Ball,Veloz Bola
LEVELBALL,Level Ball,Nivel Ball,Nivel Ball,レベルボール,Levelball,Niveau Ball,Livello Ball,Nível Bola
LUREBALL,Lure Ball,Cebo Ball,Cebo Ball,ルアーボール,Köderball,Appât Ball,Esca Ball,Isca Bola
HEAVYBALL,Heavy Ball,Peso Ball,Peso Ball,ヘビーボール,Wuchtball,Masse Ball,Peso Ball,Peso Bola
LOVEBALL,Love Ball,Amor Ball,Amor Ball,ラブラブボール,Liebesball,Amour Ball,Amore Ball,Amor Bola
FRIENDBALL,Friend Ball,Amigo Ball,Amigo Ball,フレンドボール,Freundesball,Copain Ball,Amico Ball,Amigo Bola
MOONBALL,Moon Ball,Luna Ball,Luna Ball,ムーンボール,Mondball,Lune Ball,Luna Ball,Lua Bola
SPORTBALL,Sport Ball,Sport Ball,Sport Ball,スポーツボール,Sportball,Sport Ball,Sport Ball,Sport Bola
NETBALL,Net Ball,Red Ball,Red Ball,ネットボール,Netzball,Filet Ball,Rete Ball,Rede Bola
NESTBALL,Nest Ball,Nido Ball,Nido Ball,ネストボール,Nestball,Nid Ball,Nido Ball,Ninho Bola
REPEATBALL,Repeat Ball,Repetición Ball,Repetición Ball,リピートボール,Wiederholball,Repeat Ball,Bis Ball,Repetição Bola
TIMERBALL,Timer Ball,Crono Ball,Crono Ball,タイマーボール,Timerball,Chrono Ball,Crono Ball,Crono Bola
LUXURYBALL,Luxury Ball,Lujo Ball,Lujo Ball,ゴージャスボール,Luxusball,Luxe Ball,Lusso Ball,Luxo Bola
PREMIEREBALL,Premiere Ball,Premier Ball,Premier Ball,プレミアボール,Premierball,Premier Ball,Premier Ball,Premier Bola
DIVEBALL,Dive Ball,Buceo Ball,Buceo Ball,ダイブボール,Tauchball,Scaphandre Ball,Sub Ball,Mergulho Bola
DUSKBALL,Dusk Ball,Ocaso Ball,Ocaso Ball,ダークボール,Dämmerball,Sombre Ball,Buio Ball,Ocaso Bola
HEALBALL,Heal Ball,Cura Ball,Cura Ball,ヒールボール,Heilball,Soin Ball,Cura Ball,Cura Bola
QUICKBALL,Quick Ball,Veloci Ball,Veloci Ball,クイックボール,Schnellball,Rapide Ball,Rapido Ball,Veloci Bola
CHERISHBALL,Cherish Ball,Querida Ball,Querida Ball,プレシャスボール,Herzensball,Précieux Ball,Prezioso Ball,Querida Bola
PARKBALL,Park Ball,Parque Ball,Parque Ball,パークボール,Parkball,Parc Ball,Parco Ball,Parque Bola
DREAMBALL,Dream Ball,Ensueño Ball,Ensueño Ball,ドリームボール,Traumball,Rêve Ball,Sogno Ball,Sonho Bola
BEASTBALL,Beast Ball,Bestia Ball,Bestia Ball,ウルトラボール,Ungeheurball,Bête Ball,Bestia Ball,Besta Bola
STRANGEBALL,Strange Ball,Extraña Ball,Extraña Ball,ふしぎなボール,Mysteriöser Ball,Étrange Ball,Strana Ball,Estranha Bola
