keys,en,es,es_MX,ja,de,fr,it,pt
POUND,Pound,Látigo,Látigo,はたく,Klaps,Écras'Face,Sberla,Soco
KARATE_CHOP,Karate Chop,Golpe Kárate,Golpe Kárate,からてチョップ,Karateschlag,Tranche,Karatechop,Golpe de Caratê
DOUBLE_SLAP,Double Slap,Doble Bofetón,Doble Bofetón,たたきつける,Doppelklaps,Gifle,Schiaffi,Duplo Tapa
COMET_PUNCH,Comet Punch,Puño Cometa,Puño Cometa,れんぞくパンチ,Kometenpunch,Poing-Comète,Pugno Cometa,Soco Cometa
MEGA_PUNCH,Mega Punch,Megapuño,Megapuño,メガトンパンチ,Megapunch,Méga-Poing,Megapugno,Megasoco
PAY_DAY,Pay Day,Día de Pago,Día de Pago,ネコにこばん,Zahltag,Jackpot,Paghetta,Dia de Pagamento
FIRE_PUNCH,Fire Punch,Puño Fuego,Puño Fuego,ほのおのパンチ,Feuerpunch,Poing de Feu,Pugnofuoco,Soco de Fogo
ICE_PUNCH,Ice Punch,Puño Hielo,Puño Hielo,れいとうパンチ,Eispunch,Poing de Glace,Pugnoghiaccio,Soco de Gelo
THUNDER_PUNCH,Thunder Punch,Puño Trueno,Puño Trueno,かみなりパンチ,Donnerpunch,Poing-Éclair,Pugnotuono,Soco Trovão
SCRATCH,Scratch,Arañazo,Arañazo,ひっかく,Kratzer,Griffe,Graffio,Arranhão
VISE_GRIP,Vise Grip,Apretón,Apretón,はさむ,Kneifzange,Pince,Pinza,Tenaz
GUILLOTINE,Guillotine,Guillotina,Guillotina,ハサミギロチン,Guillotine,Guillotine,Ghigliottina,Guilhotina
RAZOR_WIND,Razor Wind,Viento Cortante,Viento Cortante,かまいたち,Klingenwind,Vent Tranchant,Vento Lama,Vento Cortante
SWORDS_DANCE,Swords Dance,Danza Espada,Danza Espada,つるぎのまい,Schwerttanz,Danse-Lames,Danza Spade,Dança das Espadas
CUT,Cut,Corte,Corte,いあいぎり,Zerschneider,Coupe,Taglio,Corte
GUST,Gust,Ráfaga,Ráfaga,かぜおこし,Windstoß,Bourrasque,Refolo,Rajada
WING_ATTACK,Wing Attack,Ataque Ala,Ataque Ala,つばさでうつ,Flügelangriff,Attrape,Ala d'Acciaio,Ataque de Asa
WHIRLWIND,Whirlwind,Torbellino,Torbellino,ふきとばし,Wirbelwind,Tourbillon,Turbine,Redemoinho
