keys,en,es,es_MX,ja,de,fr,it,pt
POUND_DESC,Pounds the foe with forelegs or tail.,Golpea al rival con las patas delanteras o la cola.,Golpea al rival con las patas delanteras o la cola.,まえあしやしっぽではたいて攻撃する。,Trifft den Gegner mit den Vorderbeinen oder dem Schwanz.,Frappe l'adversaire avec les membres antérieurs ou la queue.,Colpisce il nemico con le zampe anteriori o la coda.,Golpeia o adversário com as patas dianteiras ou a cauda.
KARATE_CHOP_DESC,A sharp chopping attack with a high critical-hit ratio.,Un ataque de golpe certero con alta probabilidad de golpe crítico.,Un ataque de golpe certero con alta probabilidad de golpe crítico.,切り裂くような一撃で、急所に当たりやすい。,Ein präziser Schlag mit hoher kritischer Trefferrate.,Une attaque tranchante avec un fort taux de coup critique.,Un attacco preciso con alta probabilità di colpo critico.,Um ataque preciso com alta taxa de acerto crítico.
DOUBLE_SLAP_DESC,Repeatedly slaps the foe 2 to 5 times.,Abofetea al rival repetidamente de 2 a 5 veces.,Abofetea al rival repetidamente de 2 a 5 veces.,連続で２〜５回たたきつける。,Trifft den Gegner 2 bis 5 Mal in Folge.,Gifle l'adversaire de 2 à 5 fois de suite.,Schiaffeggia il nemico da 2 a 5 volte di seguito.,Esbofeteia o adversário de 2 a 5 vezes seguidas.
COMET_PUNCH_DESC,Repeatedly punches the foe 2 to 5 times.,Golpea al rival repetidamente de 2 a 5 veces.,Golpea al rival repetidamente de 2 a 5 veces.,連続で２〜５回パンチを繰り出す。,Schlägt den Gegner 2 bis 5 Mal in Folge.,Frappe l'adversaire de 2 à 5 fois de suite.,Colpisce il nemico con pugni da 2 a 5 volte.,Golpeia o adversário com socos de 2 a 5 vezes.
MEGA_PUNCH_DESC,A strong punch thrown with incredible power.,Un potente puño lanzado con una fuerza increíble.,Un potente puño lanzado con una fuerza increíble.,信じられないほどの力で放つ強烈なパンチ。,Ein starker Schlag mit unglaublicher Kraft.,Un poing puissant lancé avec une force incroyable.,Un pugno potente lanciato con forza incredibile.,Um soco poderoso lançado com força incrível.
PAY_DAY_DESC,Throws coins at the foe. Money is recovered after the battle.,Lanza monedas al rival. El dinero se recupera al finalizar el combate.,Lanza monedas al rival. El dinero se recupera al finalizar el combate.,相手にコインを投げつける。バトル後にお金を回収できる。,Wirft Münzen auf den Gegner. Das Geld wird nach dem Kampf eingesammelt.,Lance des pièces sur l'adversaire. L'argent est récupéré après le combat.,Lancia monete sul nemico. Il denaro viene recuperato dopo la battaglia.,Lança moedas no adversário. O dinheiro é recuperado após a batalha.
FIRE_PUNCH_DESC,A fiery punch that may burn the foe.,Un puño en llamas que puede quemar al rival.,Un puño en llamas que puede quemar al rival.,炎をまとったパンチ。相手をやけど状態にすることがある。,"Ein feuriger Schlag, der den Gegner verbrennen kann.",Un poing enflammé qui peut brûler l'adversaire.,Un pugno infuocato che può bruciare il nemico.,Um soco de fogo que pode queimar o adversário.
ICE_PUNCH_DESC,An icy punch that may freeze the foe.,Un puño helado que puede congelar al rival.,Un puño helado que puede congelar al rival.,凍てついたパンチ。相手をこおり状態にすることがある。,"Ein eisiger Schlag, der den Gegner einfrieren kann.",Un poing glacé qui peut congeler l'adversaire.,Un pugno ghiacciato che può congelare il nemico.,Um soco gelado que pode congelar o adversário.
THUNDER_PUNCH_DESC,An electrified punch that may paralyze the foe.,Un puño electrificado que puede paralizar al rival.,Un puño electrificado que puede paralizar al rival.,電気をまとったパンチ。相手をまひ状態にすることがある。,"Ein elektrisierter Schlag, der den Gegner lähmen kann.",Un poing électrisé qui peut paralyser l'adversaire.,Un pugno elettrizzato che può paralizzare il nemico.,Um soco elétrico que pode paralisar o adversário.
SCRATCH_DESC,Scratches the foe with sharp claws.,Araña al rival con unas garras afiladas.,Araña al rival con unas garras afiladas.,鋭い爪で引っかいて攻撃する。,Kratzt den Gegner mit scharfen Klauen.,Griffe l'adversaire avec des ongles acérés.,Graffia il nemico con artigli affilati.,Arranha o adversário com garras afiadas.
VISE_GRIP_DESC,Grips the foe with large and powerful pincers.,Agarra al rival con grandes y poderosas pinzas.,Agarra al rival con grandes y poderosas pinzas.,大きく強力なハサミでつかんで攻撃する。,Greift den Gegner mit großen und kräftigen Zangen.,Saisit l'adversaire avec de grandes pinces puissantes.,Afferra il nemico con grandi e potenti pinze.,Agarra o adversário com grandes e poderosas tenazes.
GUILLOTINE_DESC,"A one-hit KO, pincer attack.",Un ataque de pinza que noquea al rival de un solo golpe.,Un ataque de pinza que noquea al rival de un solo golpe.,相手を一撃で倒すハサミでの攻撃。,"Ein Zangenangriff, der den Gegner mit einem Treffer besiegt.",Une attaque de pince qui met l'adversaire KO en un coup.,Un attacco a pinza che mette KO il nemico in un colpo solo.,Um ataque de tenaz que derrota o adversário em um único golpe.
RAZOR_WIND_DESC,A 2-turn move that strikes the foe on the 2nd turn.,Un movimiento de 2 turnos que golpea al rival en el 2.º turno.,Un movimiento de 2 turnos que golpea al rival en el 2.º turno.,2ターン技。2ターン目に相手に大ダメージを与える。,"Eine 2-Runden-Attacke, die den Gegner in der 2. Runde trifft.",Une attaque en 2 tours qui frappe l'adversaire au 2e tour.,Una mossa in 2 turni che colpisce il nemico al 2° turno.,Um movimento de 2 turnos que golpeia o adversário no 2.º turno.
SWORDS_DANCE_DESC,A fighting dance that sharply raises Attack.,Una danza de combate que sube drásticamente el Ataque.,Una danza de combate que sube drásticamente el Ataque.,戦いの舞いを踊って、自分の攻撃をぐーんと上げる。,"Ein Kampftanz, der den Angriff stark erhöht.",Une danse de combat qui augmente fortement l'Attaque.,Una danza di combattimento che aumenta drasticamente l'Attacco.,Uma dança de combate que aumenta drasticamente o Ataque.
CUT_DESC,Cuts the foe with a scythe or a claw. It can also be used to cut down thin trees.,Corta al rival con una guadaña o garra. También puede usarse para talar árboles pequeños.,Corta al rival con una guadaña o garra. También puede usarse para talar árboles pequeños.,鎌や爪で相手を切りつける。細い木を切ることもできる。,Schneidet den Gegner mit einer Sense oder Klaue. Kann auch dünne Bäume fällen.,Coupe l'adversaire avec une faux ou une griffe. Peut aussi abattre de petits arbres.,Taglia il nemico con una falce o un artiglio. Può anche tagliare alberi sottili.,Corta o adversário com uma foice ou garra. Também pode ser usado para derrubar árvores pequenas.
GUST_DESC,Whips up a strong gust of wind.,Desencadena una fuerte ráfaga de viento.,Desencadena una fuerte ráfaga de viento.,強い風を起こして攻撃する。,Erzeugt eine starke Windbö.,Déchaîne une forte bourrasque de vent.,Scatena una forte raffica di vento.,Desencadeia uma forte rajada de vento.
WING_ATTACK_DESC,Strikes the target with wings.,Golpea al objetivo con las alas.,Golpea al objetivo con las alas.,翼で相手をはたいて攻撃する。,Trifft das Ziel mit den Flügeln.,Frappe la cible avec ses ailes.,Colpisce il bersaglio con le ali.,Golpeia o alvo com as asas.
WHIRLWIND_DESC,A powerful wind that blows the target away.,Un viento potente que hace retroceder al objetivo.,Un viento potente que hace retroceder al objetivo.,強風で相手を吹き飛ばす。,"Ein kräftiger Wind, der das Ziel zurückwirft.",Un vent puissant qui repousse la cible.,Un vento potente che respinge il bersaglio.,Um vento poderoso que expulsa o alvo de batalha.
