,en,es,es_MX,ja,de,fr,it,pt
POKEBALL_DESC,"A device for catching Wild Pokémon. It's thrown like a ball at a Pokémon, comfortably encapsulating it.","Un dispositivo para atrapar Pokémon salvajes. Se lanza como una pelota hacia un Pokémon, encapsulándolo cómodamente.","Un dispositivo para atrapar Pokémon salvajes. Se lanza como una pelota hacia un Pokémon, encapsulándolo cómodamente.",野生のポケモンを捕まえるための道具。ポケモンに向かってボールのように投げ、快適に封じ込める。,Ein Gerät zum Fangen wilder Pokémon. Es wird wie ein Ball auf ein Pokémon geworfen und schließt es komfortabel ein.,"Un appareil pour attraper les Pokémon sauvages. Il est lancé comme une balle sur un Pokémon, l'encapsulant confortablement.","Un dispositivo per catturare Pokémon selvatici. Viene lanciato come una palla verso un Pokémon, incapsulandolo comodamente.","Um dispositivo para capturar Pokémon selvagens. É lançado como uma bola em direção a um Pokémon, encapsulando-o confortavelmente."
GREATBALL_DESC,A great-performance Poké Ball that provides a higher catch rate than a standard one.,Una Poké Ball de gran rendimiento que ofrece una tasa de captura superior a la estándar.,Una Poké Ball de gran rendimiento que ofrece una tasa de captura superior a la estándar.,通常のボールより捕獲率が高い、高性能なポケモンボール。,Ein leistungsstarker Pokéball mit einer höheren Fangrate als ein normaler Ball.,Une Poké Ball très performante offrant un taux de capture supérieur à celui d'une standard.,Una Poké Ball ad alte prestazioni che offre una percentuale di cattura superiore a quella standard.,Uma Poké Bola de alto desempenho com uma taxa de captura superior à padrão.
ULTRABALL_DESC,An ultra-performance Poké Ball that provides a higher catch rate than a Great Ball.,Una Poké Ball de ultra rendimiento que ofrece una tasa de captura superior a la Súper Ball.,Una Poké Ball de ultra rendimiento que ofrece una tasa de captura superior a la Súper Ball.,スーパーボールよりも捕獲率が高い、超高性能なポケモンボール。,Ein ultra-leistungsstarker Pokéball mit einer höheren Fangrate als ein Superball.,Une Poké Ball ultra-performante offrant un taux de capture supérieur à celui d'une Super Ball.,Una Poké Ball ultra performante che offre una percentuale di cattura superiore alla Gran Ball.,Uma Poké Bola ultra performática com uma taxa de captura superior à Super Bola.
MASTERBALL_DESC,"The very best Poké Ball with the ultimate level of performance. With it, you will catch any wild Pokémon without fail.",La mejor Poké Ball con el máximo nivel de rendimiento. Con ella atraparás cualquier Pokémon salvaje sin fallo.,La mejor Poké Ball con el máximo nivel de rendimiento. Con ella atraparás cualquier Pokémon salvaje sin fallo.,究極の性能を持つ最高のポケモンボール。どんな野生のポケモンも必ず捕まえることができる。,Der allerbeste Pokéball mit dem ultimativen Leistungsniveau. Mit ihm fängst du jeden wilden Pokémon ohne Fehlschlag.,"La toute meilleure Poké Ball avec le niveau de performance ultime. Avec elle, vous attraperez n'importe quel Pokémon sauvage sans faute.",La migliore Poké Ball con il massimo livello di prestazioni. Con essa catturerai qualsiasi Pokémon selvatico senza fallire.,"A melhor Poké Bola com o máximo nível de desempenho. Com ela, você capturará qualquer Pokémon selvagem sem falhar."
SAFARIBALL_DESC,A special Poké Ball used in locales such as the Safari Zone in the Hoenn and Johto regions and the Great Marsh in the Sinnoh region.,"Una Poké Ball especial usada en la Zona Safari de Hoenn, Johto y en la Gran Marisma de Sinnoh.","Una Poké Ball especial usada en la Zona Safari de Hoenn, Johto y en la Gran Marisma de Sinnoh.",ホウエン・ジョウト地方のサファリゾーンやシンオウ地方の大湿原などで使用される特別なボール。,Ein spezieller Pokéball für die Safarizone in Hoenn und Johto sowie den Großen Sumpf in Sinnoh.,Une Poké Ball spéciale utilisée dans des endroits comme la Zone Safari de Hoenn et Johto ou le Grand Marais de Sinnoh.,Una Poké Ball speciale usata in luoghi come la Zona Safari di Hoenn e Johto e la Grande Palude di Sinnoh.,Uma Poké Bola especial usada na Zona Safari de Hoenn e Johto e no Grande Pântano de Sinnoh.
FASTBALL_DESC,A Poké Ball that makes it easier to catch fast Pokémon.,Una Poké Ball que facilita la captura de Pokémon rápidos.,Una Poké Ball que facilita la captura de Pokémon rápidos.,素早いポケモンを捕まえやすくするポケモンボール。,"Ein Pokéball, der das Fangen schneller Pokémon erleichtert.",Une Poké Ball qui facilite la capture des Pokémon rapides.,Una Poké Ball che rende più facile catturare Pokémon veloci.,Uma Poké Bola que facilita a captura de Pokémon rápidos.
LEVELBALL_DESC,A Poké Ball for catching Pokémon that are a lower level than your own.,Una Poké Ball para atrapar Pokémon de nivel inferior al tuyo.,Una Poké Ball para atrapar Pokémon de nivel inferior al tuyo.,自分のポケモンよりもレベルの低い野生のポケモンを捕まえるためのボール。,Ein Pokéball zum Fangen von Pokémon mit einem niedrigeren Level als deins.,Une Poké Ball pour attraper des Pokémon de niveau inférieur au vôtre.,Una Poké Ball per catturare Pokémon di livello inferiore al tuo.,Uma Poké Bola para capturar Pokémon de nível inferior ao seu.
LUREBALL_DESC,A Poké Ball for catching Pokémon hooked by a Rod when fishing.,Una Poké Ball para atrapar Pokémon que han picado en la caña de pescar.,Una Poké Ball para atrapar Pokémon que han picado en la caña de pescar.,釣り竿で釣れたポケモンを捕まえるためのポケモンボール。,"Ein Pokéball zum Fangen von Pokémon, die an der Angel hängen.",Une Poké Ball pour attraper des Pokémon accrochés à une canne à pêche.,Una Poké Ball per catturare Pokémon agganciati alla canna da pesca.,Uma Poké Bola para capturar Pokémon fisgados com uma vara de pesca.
HEAVYBALL_DESC,A Poké Ball that becomes more effective the heavier the Pokémon is.,Una Poké Ball que se vuelve más efectiva cuanto más pesa el Pokémon.,Una Poké Ball que se vuelve más efectiva cuanto más pesa el Pokémon.,ポケモンが重いほど捕まえやすくなるポケモンボール。,"Ein Pokéball, der umso effektiver ist, je schwerer das Pokémon ist.",Une Poké Ball de plus en plus efficace selon le poids du Pokémon.,Una Poké Ball che diventa più efficace quanto più il Pokémon è pesante.,Uma Poké Bola que se torna mais eficaz quanto mais pesado for o Pokémon.
LOVEBALL_DESC,A Poké Ball that works best when catching a Pokémon of the opposite gender and same species of your own.,Una Poké Ball que funciona mejor al atrapar un Pokémon del sexo opuesto y la misma especie.,Una Poké Ball que funciona mejor al atrapar un Pokémon del sexo opuesto y la misma especie.,同じ種族で異性のポケモンを捕まえるときに効果的なポケモンボール。,"Ein Pokéball, der am besten funktioniert, wenn man ein Pokémon des anderen Geschlechts der gleichen Art fängt.",Une Poké Ball qui fonctionne mieux pour attraper un Pokémon du sexe opposé et de la même espèce.,Una Poké Ball che funziona meglio quando si cattura un Pokémon del sesso opposto e della stessa specie.,Uma Poké Bola que funciona melhor ao capturar um Pokémon do sexo oposto da mesma espécie.
